ACTIVITY,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XVAR,YVAR,ZVAR,XMFCC0,XMFCC1,XMFCC2,XMFCC3,XMFCC4,XMFCC5,XMFCC6,XMFCC7,XMFCC8,XMFCC9,XMFCC10,XMFCC11,XMFCC12,YMFCC0,YMFCC1,YMFCC2,YMFCC3,YMFCC4,YMFCC5,YMFCC6,YMFCC7,YMFCC8,YMFCC9,YMFCC10,YMFCC11,YMFCC12,ZMFCC0,ZMFCC1,ZMFCC2,ZMFCC3,ZMFCC4,ZMFCC5,ZMFCC6,ZMFCC7,ZMFCC8,ZMFCC9,ZMFCC10,ZMFCC11,ZMFCC12,XYCOS,XZCOS,YZCOS,XYCOR,XZCOR,YZCOR,RESULTANT,class
A,0.06,0.11,0.215,0.255,0.24,0.07,0.03,0.01,0.005,0.005,0,0,0.005,0.08,0.33,0.27,0.155,0.09,0.06,0.01,0.31,0.49,0.11,0.045,0.02,0.01,0.01,0,0.005,0,3.75362,8.93719,-1.23117,43.8636,33.5088,38.0392,2.9203,2.79242,2.07808,0.271252,0.245507,0.220632,0.520818,0.495487,0.469715,0.44721,0.632112,0.631097,0.629406,0.62704,0.624004,0.620299,0.615929,0.610901,0.605218,0.598887,0.591915,0.584309,0.471347,0.666228,0.665157,0.663375,0.660882,0.657681,0.653776,0.649171,0.643871,0.637882,0.631209,0.623861,0.615844,0.416221,0.58831,0.587365,0.585791,0.583589,0.580763,0.577315,0.573248,0.568568,0.563279,0.557387,0.550898,0.543819,0.751094,-0.00580933,-0.376951,0.383184,0.377359,-0.10338,10.7499,1617
A,0.05,0.13,0.17,0.22,0.285,0.09,0.02,0.02,0.01,0.005,0,0,0,0.05,0.385,0.25,0.165,0.06,0.075,0.015,0.335,0.43,0.145,0.035,0.035,0.01,0.005,0,0,0.005,3.88754,8.95497,-1.26079,45.2381,33.1034,35.4545,3.13264,2.72712,2.11061,0.284434,0.240149,0.224668,0.533323,0.49005,0.473991,0.445335,0.629462,0.628451,0.626767,0.624411,0.621387,0.617698,0.613347,0.608339,0.60268,0.596376,0.589433,0.581859,0.460281,0.650587,0.649541,0.647801,0.645366,0.642241,0.638428,0.633931,0.628755,0.622906,0.61639,0.609214,0.601386,0.411881,0.582175,0.58124,0.579682,0.577504,0.574707,0.571295,0.567271,0.56264,0.557406,0.551575,0.545153,0.538148,0.741898,0.0698652,-0.368142,0.361264,0.48803,-0.0706152,10.8633,1617
A,0.07,0.135,0.165,0.25,0.19,0.13,0.025,0.015,0.01,0.01,0,0,0.005,0.1,0.32,0.25,0.165,0.075,0.07,0.015,0.305,0.495,0.095,0.045,0.02,0.02,0,0,0.015,0.005,3.87522,8.84818,-1.05217,47.4359,32.3729,36.6038,3.39478,2.82586,2.28592,0.30711,0.248902,0.263985,0.554175,0.498901,0.513794,0.455201,0.643407,0.642373,0.640652,0.638244,0.635153,0.631382,0.626935,0.621816,0.616032,0.609588,0.602491,0.594749,0.457425,0.646551,0.645512,0.643782,0.641363,0.638257,0.634467,0.629998,0.624854,0.619042,0.612566,0.605435,0.597655,0.43875,0.620154,0.619158,0.617498,0.615178,0.612198,0.608564,0.604277,0.599344,0.593768,0.587557,0.580717,0.573254,0.68907,0.227904,-0.299957,0.255459,0.568801,-0.134642,10.9722,1617
A,0.075,0.145,0.14,0.205,0.275,0.105,0.01,0.025,0.02,0,0,0,0,0.095,0.335,0.27,0.145,0.07,0.06,0.025,0.265,0.52,0.115,0.05,0.015,0.005,0.005,0.015,0.005,0.005,3.87534,8.81253,-0.974214,49.2105,34.3636,36.6038,3.48922,2.82733,2.21874,0.310378,0.251811,0.263743,0.557116,0.501808,0.513559,0.45201,0.638896,0.63787,0.63616,0.633769,0.6307,0.626955,0.622539,0.617457,0.611713,0.605314,0.598267,0.590579,0.461743,0.652653,0.651605,0.649859,0.647416,0.644281,0.640456,0.635945,0.630752,0.624885,0.618348,0.611149,0.603296,0.436708,0.617267,0.616276,0.614624,0.612314,0.609349,0.605731,0.601464,0.596554,0.591004,0.584822,0.578014,0.570586,0.686601,0.244267,-0.280844,0.259784,0.56738,-0.128378,10.9814,1617
A,0.085,0.145,0.145,0.175,0.285,0.1,0.03,0.02,0.005,0.01,0,0,0.005,0.045,0.36,0.305,0.15,0.06,0.05,0.025,0.305,0.505,0.1,0.05,0.01,0.02,0,0,0.01,0,3.8379,8.85265,-1.14531,46.4286,32.2951,36.7925,3.50238,2.68869,1.98273,0.308464,0.242619,0.224986,0.555396,0.492564,0.474327,0.460557,0.650977,0.649932,0.64819,0.645754,0.642627,0.638811,0.634312,0.629133,0.62328,0.61676,0.60958,0.601747,0.460292,0.650603,0.649558,0.647817,0.645383,0.642257,0.638444,0.633947,0.628771,0.622922,0.616406,0.60923,0.601401,0.429226,0.606692,0.605717,0.604094,0.601824,0.598909,0.595353,0.59116,0.586333,0.580879,0.574803,0.568111,0.560811,0.700471,0.057924,-0.399338,0.311718,0.398679,-0.245695,10.8796,1617
A,0.06,0.165,0.14,0.195,0.27,0.105,0.025,0.03,0,0.01,0,0,0,0.08,0.345,0.245,0.18,0.075,0.055,0.02,0.29,0.46,0.145,0.065,0.015,0.015,0.005,0.005,0,0,3.96109,8.87265,-1.11007,47.25,33.0508,40.2083,3.44791,2.82185,2.19198,0.304898,0.244883,0.220246,0.552175,0.494857,0.469304,0.466573,0.659481,0.658421,0.656657,0.654189,0.651021,0.647155,0.642597,0.637351,0.631422,0.624817,0.617542,0.609607,0.460571,0.650997,0.649951,0.64821,0.645774,0.642646,0.638831,0.634331,0.629152,0.623299,0.616779,0.609599,0.601765,0.419111,0.592396,0.591444,0.589859,0.587642,0.584796,0.581324,0.57723,0.572517,0.567191,0.561258,0.554724,0.547596,0.712316,0.126992,-0.361862,0.306632,0.510461,-0.143453,10.881,1617
A,0.025,0.135,0.195,0.175,0.28,0.135,0.015,0.025,0.005,0.01,0,0,0.005,0.06,0.35,0.265,0.16,0.075,0.065,0.02,0.31,0.43,0.15,0.075,0.01,0.015,0.005,0.005,0,0,4.23406,8.94485,-0.977459,43.9535,32.0339,35,3.30352,2.82876,2.09495,0.288521,0.248102,0.210244,0.537141,0.498098,0.458523,0.447284,0.632216,0.631201,0.629509,0.627143,0.624106,0.620401,0.616031,0.611001,0.605317,0.598985,0.592012,0.584405,0.458993,0.648766,0.647724,0.645988,0.64356,0.640443,0.636641,0.632157,0.626995,0.621163,0.614665,0.607509,0.599703,0.406629,0.574753,0.573829,0.572292,0.570141,0.56738,0.564011,0.560038,0.555466,0.550299,0.544542,0.538203,0.531287,0.766255,0.0715559,-0.308351,0.378546,0.449683,-0.0507789,10.9107,1617
A,0.04,0.135,0.14,0.255,0.255,0.115,0.015,0.025,0.01,0.01,0,0,0,0.065,0.385,0.245,0.14,0.08,0.055,0.03,0.275,0.51,0.105,0.05,0.05,0,0.005,0,0,0.005,4.18644,8.86997,-1.11648,46.6667,33.9655,34.1071,3.1489,2.79701,2.21684,0.289069,0.247775,0.248266,0.537651,0.49777,0.498263,0.448706,0.634227,0.633208,0.631511,0.629138,0.626091,0.622374,0.61799,0.612944,0.607242,0.60089,0.593895,0.586263,0.46048,0.650869,0.649823,0.648082,0.645646,0.642519,0.638705,0.634206,0.629028,0.623176,0.616657,0.609478,0.601646,0.442292,0.62516,0.624156,0.622483,0.620144,0.617141,0.613477,0.609155,0.604182,0.598562,0.5923,0.585405,0.577882,0.763724,0.055558,-0.320179,0.382952,0.409093,-0.109481,10.9459,1617
A,0.05,0.135,0.135,0.27,0.215,0.115,0.04,0.02,0.01,0.01,0,0,0.005,0.095,0.34,0.255,0.16,0.07,0.045,0.03,0.31,0.445,0.14,0.06,0.02,0,0.015,0.005,0,0.005,4.21583,8.74498,-1.05283,41.2766,34.6429,35.6364,3.37361,2.83086,2.2998,0.306601,0.249731,0.249339,0.553715,0.499731,0.499339,0.479856,0.678255,0.677166,0.675351,0.672813,0.669555,0.665579,0.660891,0.655495,0.649398,0.642605,0.635123,0.626962,0.476411,0.673387,0.672305,0.670503,0.667983,0.664748,0.660801,0.656147,0.65079,0.644736,0.637992,0.630564,0.622461,0.455852,0.644327,0.643292,0.641568,0.639157,0.636061,0.632285,0.627831,0.622705,0.616913,0.610459,0.603352,0.595599,0.721594,0.086413,-0.280259,0.28014,0.416083,-0.0417524,10.9455,1617
A,0.06,0.155,0.155,0.185,0.21,0.15,0.04,0.025,0.005,0.015,0,0,0.01,0.15,0.255,0.285,0.095,0.095,0.06,0.05,0.34,0.405,0.155,0.035,0.025,0.03,0.01,0,0,0,4.15875,8.94322,-1.3113,42.7907,34.9091,35.2727,3.90298,3.26201,2.49713,0.337696,0.289384,0.254032,0.581116,0.537944,0.504016,0.475995,0.672798,0.671717,0.669917,0.6674,0.664167,0.660224,0.655574,0.650221,0.644173,0.637434,0.630013,0.621917,0.481465,0.680529,0.679436,0.677615,0.675069,0.671799,0.667811,0.663107,0.657693,0.651575,0.644759,0.637253,0.629064,0.450962,0.637415,0.636391,0.634685,0.6323,0.629238,0.625502,0.621096,0.616025,0.610295,0.603911,0.59688,0.58921,0.713469,-0.118999,-0.363213,0.370647,0.149871,-0.131571,11.2795,1617
