"ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR","XMFCC0","XMFCC1","XMFCC2","XMFCC3","XMFCC4","XMFCC5","XMFCC6","XMFCC7","XMFCC8","XMFCC9","XMFCC10","XMFCC11","XMFCC12","YMFCC0","YMFCC1","YMFCC2","YMFCC3","YMFCC4","YMFCC5","YMFCC6","YMFCC7","YMFCC8","YMFCC9","YMFCC10","YMFCC11","YMFCC12","ZMFCC0","ZMFCC1","ZMFCC2","ZMFCC3","ZMFCC4","ZMFCC5","ZMFCC6","ZMFCC7","ZMFCC8","ZMFCC9","ZMFCC10","ZMFCC11","ZMFCC12","XYCOS","XZCOS","YZCOS","XYCOR","XZCOR","YZCOR","RESULTANT","class"
A,0,0,0.005,0.16,0.23,0.225,0.085,0.185,0.075,0.035,0.315,0.385,0.255,0.035,0.01,0,0,0,0,0,0.49,0.295,0.11,0.075,0.01,0.01,0.01,0,0,0,9.45206,-1.32954,-2.22272,63,62.3333,54.4444,3.57435,1.87478,2.68351,0.29423,0.165195,0.254713,0.542429,0.406442,0.504691,0.442015,0.624768,0.623765,0.622093,0.619755,0.616754,0.613092,0.608773,0.603803,0.598186,0.591929,0.585038,0.57752,0.346685,0.490024,0.489237,0.487925,0.486092,0.483738,0.480866,0.477479,0.47358,0.469175,0.464267,0.458862,0.452966,0.438598,0.619939,0.618943,0.617285,0.614965,0.611987,0.608353,0.604068,0.599136,0.593563,0.587354,0.580516,0.573056,-0.346177,-0.527433,0.277309,0.304168,-0.136543,0.0237631,10.731,1641
A,0,0.02,0.005,0.145,0.19,0.195,0.125,0.165,0.12,0.035,0.275,0.47,0.19,0.045,0.01,0,0.01,0,0,0,0.365,0.39,0.145,0.04,0.03,0.02,0,0,0.005,0.005,9.73019,-1.32186,-1.55677,70.3704,63.4483,56.4706,3.80106,2.06723,2.91552,0.317341,0.242347,0.396872,0.56333,0.492287,0.629978,0.451729,0.6385,0.637474,0.635766,0.633377,0.630309,0.626567,0.622153,0.617074,0.611334,0.604939,0.597896,0.590213,0.431067,0.609294,0.608315,0.606685,0.604405,0.601478,0.597907,0.593695,0.588848,0.58337,0.577268,0.570547,0.563216,0.520808,0.73614,0.734957,0.732987,0.730233,0.726696,0.722382,0.717294,0.711437,0.704819,0.697446,0.689327,0.680469,-0.191188,-0.309584,-0.289377,0.346949,-0.165705,-0.428841,11.3698,1641
A,0,0,0.055,0.085,0.215,0.22,0.12,0.15,0.105,0.05,0.28,0.57,0.105,0.015,0.015,0.01,0.005,0,0,0,0.545,0.31,0.11,0.015,0.015,0.005,0,0,0,0,9.72681,-1.63835,-2.56206,70.7692,73.6,51.5789,3.82363,1.7008,2.04411,0.321378,0.189458,0.194348,0.566902,0.435267,0.44085,0.454263,0.642081,0.641049,0.639332,0.636929,0.633844,0.630081,0.625643,0.620535,0.614762,0.608332,0.601249,0.593523,0.380164,0.537345,0.536482,0.535044,0.533034,0.530452,0.527303,0.523589,0.519314,0.514483,0.509101,0.503174,0.496708,0.394889,0.558159,0.557262,0.555769,0.55368,0.550999,0.547727,0.543869,0.539429,0.534411,0.52882,0.522664,0.515948,-0.427706,-0.601442,0.580041,0.124378,0.0526661,0.35947,11.0289,1641
A,0,0,0.025,0.135,0.235,0.17,0.135,0.145,0.08,0.075,0.39,0.45,0.125,0.01,0.005,0.005,0.01,0.005,0,0,0.295,0.415,0.14,0.07,0.03,0.02,0.005,0.01,0.005,0.01,9.89665,-2.24413,-0.74054,61.6129,65.5172,45.1163,4.1413,2.41883,3.07721,0.354031,0.281655,0.3732,0.595005,0.530712,0.610901,0.474759,0.671051,0.669973,0.668178,0.665667,0.662443,0.65851,0.653872,0.648533,0.6425,0.635779,0.628377,0.620303,0.444349,0.628067,0.627058,0.625378,0.623028,0.62001,0.616329,0.611988,0.606992,0.601345,0.595055,0.588127,0.580569,0.500315,0.707173,0.706037,0.704145,0.701499,0.698102,0.693957,0.689069,0.683443,0.677085,0.670003,0.662202,0.653693,-0.358802,-0.0596876,-0.173056,0.201358,0.143831,-0.279628,11.7677,1641
A,0,0,0,0.075,0.24,0.235,0.19,0.125,0.1,0.035,0.48,0.295,0.155,0.055,0.01,0,0,0.005,0,0,0.415,0.335,0.1,0.055,0.015,0.025,0.02,0.005,0.01,0.02,10.0661,-2.5006,-0.928597,56.5625,55.4286,54.4444,3.31899,2.62072,4.316,0.301072,0.269544,0.572573,0.5487,0.519177,0.756686,0.457565,0.646748,0.645709,0.643979,0.641559,0.638451,0.634661,0.63019,0.625045,0.619231,0.612753,0.60562,0.597837,0.441705,0.624331,0.623328,0.621658,0.619322,0.616322,0.612663,0.608348,0.603381,0.597768,0.591515,0.584628,0.577116,0.572923,0.809802,0.808501,0.806334,0.803304,0.799413,0.794667,0.78907,0.782627,0.775347,0.767236,0.758304,0.74856,-0.468372,-0.0679404,0.133874,0.112979,0.0955745,0.0859294,12.7818,1641
A,0.005,0,0.025,0.075,0.22,0.245,0.195,0.12,0.06,0.055,0.315,0.47,0.195,0.015,0.005,0,0,0,0,0,0.55,0.255,0.125,0.035,0.015,0.005,0,0,0.005,0.01,9.63307,-1.79959,-2.59752,64,56.4706,52.4324,3.37807,1.73619,3.10748,0.302736,0.173308,0.39083,0.550215,0.416302,0.625164,0.46869,0.662473,0.661409,0.659636,0.657157,0.653975,0.650092,0.645513,0.640243,0.634287,0.627652,0.620345,0.612373,0.364515,0.515227,0.514399,0.51302,0.511092,0.508617,0.505597,0.502036,0.497937,0.493305,0.488145,0.482462,0.476262,0.512112,0.723849,0.722686,0.720749,0.71804,0.714563,0.71032,0.705317,0.699559,0.693051,0.685801,0.677817,0.669107,-0.524624,-0.311916,0.351375,0.0495127,0.208815,0.136596,11.5499,1641
A,0,0,0.05,0.155,0.155,0.155,0.175,0.085,0.13,0.095,0.34,0.385,0.21,0.045,0.01,0,0,0,0.005,0.005,0.185,0.365,0.32,0.065,0.015,0.01,0.01,0.015,0,0.015,10.161,-1.64945,0.214498,79.0909,61.9355,54.5714,4.46109,2.68478,2.58308,0.383848,0.322212,0.31977,0.619554,0.567637,0.565482,0.457263,0.646322,0.645283,0.643554,0.641135,0.63803,0.634242,0.629775,0.624633,0.618822,0.612349,0.60522,0.597443,0.447763,0.632894,0.631877,0.630184,0.627815,0.624775,0.621065,0.616691,0.611656,0.605966,0.599627,0.592646,0.585031,0.462981,0.654403,0.653352,0.651601,0.649152,0.646008,0.642173,0.63765,0.632443,0.62656,0.620006,0.612788,0.604913,-0.37885,0.124244,-0.281992,-0.177488,0.175183,-0.283066,11.5888,1641
A,0.005,0,0.05,0.125,0.155,0.17,0.205,0.165,0.085,0.04,0.235,0.31,0.175,0.105,0.085,0.045,0.035,0.01,0,0,0.255,0.24,0.285,0.155,0.05,0,0.005,0.005,0,0.005,9.71427,0.357014,-0.032237,68.9286,68.8889,51.5789,3.72159,3.77645,3.16917,0.317501,0.354007,0.35719,0.563472,0.594985,0.597654,0.462588,0.653847,0.652797,0.651048,0.648601,0.64546,0.641627,0.637108,0.631906,0.626028,0.619479,0.612267,0.6044,0.443432,0.626772,0.625765,0.624088,0.621743,0.618732,0.615058,0.610726,0.605739,0.600105,0.593827,0.586914,0.579372,0.4958,0.700792,0.699666,0.697791,0.695169,0.691802,0.687694,0.682851,0.677275,0.670975,0.663956,0.656226,0.647794,0.147559,0.105377,0.429577,0.198305,0.264967,0.431132,11.7343,1641
A,0,0.02,0.035,0.145,0.18,0.185,0.14,0.125,0.085,0.085,0.49,0.3,0.15,0.015,0.02,0.005,0.015,0,0,0.005,0.27,0.35,0.15,0.07,0.03,0.03,0.035,0.025,0.015,0.025,9.93993,-2.85358,-0.493913,59.0323,62.4138,48.5,4.54452,3.5232,5.24817,0.428489,0.39444,0.688694,0.654591,0.628044,0.829876,0.508286,0.71844,0.717286,0.715364,0.712675,0.709224,0.705013,0.700047,0.694332,0.687873,0.680677,0.672753,0.664108,0.480935,0.679781,0.678689,0.67687,0.674327,0.671061,0.667076,0.662378,0.65697,0.650858,0.64405,0.636552,0.628372,0.593714,0.839189,0.837841,0.835596,0.832455,0.828424,0.823505,0.817705,0.811029,0.803484,0.795079,0.785823,0.775725,-0.279846,-0.0259617,-0.141029,0.235243,0.0332443,-0.184557,13.8284,1641
A,0,0,0.015,0.115,0.18,0.26,0.13,0.15,0.105,0.045,0.435,0.37,0.14,0.02,0.015,0.01,0.005,0,0.005,0,0.435,0.265,0.125,0.11,0.03,0.005,0.005,0.005,0.01,0.01,10.0077,-2.59517,-1.38396,59.6875,74,48.25,3.80514,2.9608,3.60414,0.345125,0.3062,0.411943,0.587473,0.553353,0.641827,0.479414,0.677631,0.676543,0.67473,0.672194,0.668938,0.664967,0.660283,0.654892,0.6488,0.642013,0.634539,0.626385,0.444229,0.627898,0.626889,0.625209,0.62286,0.619843,0.616163,0.611823,0.606828,0.601183,0.594894,0.587968,0.580413,0.515975,0.729309,0.728137,0.726186,0.723457,0.719953,0.715678,0.710637,0.704835,0.698279,0.690974,0.68293,0.674154,-0.452251,-0.157078,-0.0392184,0.0260222,0.118785,-0.189365,12.3237,1641
