"ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR","XMFCC0","XMFCC1","XMFCC2","XMFCC3","XMFCC4","XMFCC5","XMFCC6","XMFCC7","XMFCC8","XMFCC9","XMFCC10","XMFCC11","XMFCC12","YMFCC0","YMFCC1","YMFCC2","YMFCC3","YMFCC4","YMFCC5","YMFCC6","YMFCC7","YMFCC8","YMFCC9","YMFCC10","YMFCC11","YMFCC12","ZMFCC0","ZMFCC1","ZMFCC2","ZMFCC3","ZMFCC4","ZMFCC5","ZMFCC6","ZMFCC7","ZMFCC8","ZMFCC9","ZMFCC10","ZMFCC11","ZMFCC12","XYCOS","XZCOS","YZCOS","XYCOR","XZCOR","YZCOR","RESULTANT","class"
A,0.02,0.42,0.535,0.025,0,0,0,0,0,0,0.06,0.47,0.455,0.015,0,0,0,0,0,0,0,0.535,0.42,0.035,0.01,0,0,0,0,0,0.154516,-0.206602,0.14917,46.4286,40.4255,40,1.0328,1.20531,0.694381,0.0911394,0.104292,0.075643,0.301893,0.322942,0.275033,0.282374,0.399123,0.398482,0.397414,0.395921,0.394003,0.391664,0.388905,0.38573,0.382142,0.378144,0.373742,0.368939,0.304572,0.430499,0.429808,0.428656,0.427045,0.424977,0.422454,0.419478,0.416053,0.412183,0.407871,0.403123,0.397943,0.267727,0.378421,0.377813,0.3768,0.375384,0.373566,0.371348,0.368733,0.365722,0.36232,0.35853,0.354356,0.349803,0.276576,0.329367,-0.119525,0.298069,0.318219,-0.102327,1.96084,1615
A,0.055,0.38,0.535,0.03,0,0,0,0,0,0,0.03,0.43,0.5,0.035,0.005,0,0,0,0,0,0,0.53,0.47,0,0,0,0,0,0,0,0.036212,0.0532464,-0.062581,43.1111,31.2903,38,1.20162,1.30433,0.451905,0.102023,0.107565,0.0412406,0.31941,0.327972,0.203078,0.274376,0.387819,0.387196,0.386158,0.384707,0.382844,0.380571,0.37789,0.374805,0.371318,0.367434,0.363156,0.35849,0.291939,0.412643,0.41198,0.410876,0.409331,0.407349,0.404931,0.402078,0.398796,0.395086,0.390953,0.386401,0.381436,0.17094,0.241616,0.241228,0.240582,0.239677,0.238517,0.237101,0.235431,0.233508,0.231336,0.228916,0.226251,0.223344,0.683663,0.469926,0.357442,0.683419,0.475466,0.36347,1.97104,1615
A,0.055,0.41,0.51,0.025,0,0,0,0,0,0,0.03,0.465,0.47,0.035,0,0,0,0,0,0,0,0.55,0.45,0,0,0,0,0,0,0,-0.0247383,-0.0621108,-0.10083,42.8261,35,37.2,1.21366,1.19224,0.478609,0.103472,0.10009,0.0428076,0.32167,0.31637,0.2069,0.286023,0.404281,0.403631,0.40255,0.401037,0.399095,0.396725,0.393931,0.390715,0.38708,0.383031,0.378572,0.373707,0.278205,0.39323,0.392598,0.391546,0.390075,0.388186,0.385881,0.383163,0.380035,0.376499,0.372561,0.368224,0.363492,0.175066,0.247448,0.24705,0.246388,0.245462,0.244273,0.242823,0.241113,0.239144,0.23692,0.234441,0.231712,0.228734,0.572635,0.348131,0.225733,0.572527,0.350161,0.221754,1.95392,1615
A,0.07,0.34,0.56,0.03,0,0,0,0,0,0,0.035,0.39,0.525,0.045,0.005,0,0,0,0,0,0,0.585,0.415,0,0,0,0,0,0,0,0.0311076,0.182037,-0.0631688,41.7021,34.4643,40,1.26953,1.21967,0.402955,0.107696,0.105724,0.0378103,0.328171,0.325152,0.194449,0.284886,0.402674,0.402027,0.40095,0.399443,0.397509,0.395148,0.392365,0.389162,0.385542,0.381509,0.377067,0.372222,0.298639,0.422114,0.421436,0.420306,0.418727,0.416699,0.414225,0.411307,0.407949,0.404154,0.399926,0.39527,0.390191,0.169665,0.239814,0.239429,0.238787,0.23789,0.236738,0.235332,0.233674,0.231767,0.229611,0.227209,0.224564,0.221678,0.599439,0.377462,0.380009,0.601505,0.382579,0.39986,2.01721,1615
A,0.075,0.375,0.505,0.045,0,0,0,0,0,0,0.03,0.485,0.425,0.055,0.005,0,0,0,0,0,0,0.61,0.39,0,0,0,0,0,0,0,-0.00607658,-0.0216867,-0.106363,38.7755,38.0392,40.625,1.42033,1.23274,0.433437,0.11842,0.109816,0.0390118,0.344123,0.331384,0.197514,0.299246,0.422971,0.422291,0.421159,0.419577,0.417545,0.415066,0.412142,0.408777,0.404974,0.400738,0.396073,0.390983,0.304246,0.430038,0.429347,0.428196,0.426587,0.424521,0.422001,0.419028,0.415607,0.411741,0.407434,0.402691,0.397516,0.170531,0.241039,0.240651,0.240006,0.239105,0.237947,0.236534,0.234868,0.23295,0.230783,0.228369,0.22571,0.22281,0.535054,0.378459,0.52739,0.535059,0.384731,0.534462,2.12149,1615
A,0.08,0.37,0.495,0.055,0,0,0,0,0,0,0.015,0.5,0.405,0.08,0,0,0,0,0,0,0,0.545,0.455,0,0,0,0,0,0,0,-0.00184151,0.0297719,-0.09068,36.2745,34.8214,42.2222,1.52566,1.22942,0.43328,0.12649,0.109188,0.0392726,0.355655,0.330437,0.198173,0.296455,0.419026,0.418352,0.417231,0.415663,0.41365,0.411194,0.408298,0.404965,0.401197,0.397001,0.392379,0.387337,0.29242,0.413322,0.412658,0.411552,0.410006,0.40802,0.405598,0.402741,0.399453,0.395737,0.391597,0.387038,0.382065,0.155336,0.219561,0.219208,0.218621,0.217799,0.216744,0.215458,0.21394,0.212193,0.210219,0.20802,0.205599,0.202957,0.519993,0.442274,0.517532,0.520109,0.447962,0.52763,2.19797,1615
A,0.08,0.32,0.515,0.085,0,0,0,0,0,0,0.015,0.47,0.455,0.06,0,0,0,0,0,0,0,0.565,0.435,0,0,0,0,0,0,0,0.108695,0.0954381,-0.0831104,35.5556,33.0508,39.7917,1.52955,1.20017,0.443672,0.127312,0.106151,0.0403517,0.356807,0.325809,0.200877,0.30837,0.435868,0.435168,0.434001,0.43237,0.430276,0.427722,0.424709,0.421241,0.417323,0.412957,0.40815,0.402905,0.305333,0.431575,0.430882,0.429727,0.428112,0.426039,0.423509,0.420526,0.417093,0.413213,0.408891,0.40413,0.398937,0.172865,0.244337,0.243945,0.243291,0.242377,0.241203,0.239771,0.238082,0.236138,0.233942,0.231494,0.228799,0.225859,0.473072,0.36106,0.445184,0.471052,0.374326,0.460047,2.21372,1615
A,0.1,0.365,0.47,0.065,0,0,0,0,0,0,0.025,0.48,0.44,0.05,0.005,0,0,0,0,0,0,0.635,0.365,0,0,0,0,0,0,0,-0.0254504,0.0415102,-0.11143,41.9565,34.0351,37.6923,1.55384,1.22997,0.44575,0.129601,0.106872,0.0419615,0.360001,0.326913,0.204845,0.304205,0.429981,0.42929,0.428139,0.42653,0.424465,0.421945,0.418972,0.415552,0.411686,0.40738,0.402637,0.397463,0.299441,0.423246,0.422566,0.421434,0.41985,0.417817,0.415336,0.412411,0.409044,0.405239,0.400999,0.396331,0.391238,0.170897,0.241555,0.241167,0.240521,0.239617,0.238456,0.23704,0.235371,0.233449,0.231277,0.228858,0.226194,0.223287,0.567767,0.529059,0.568415,0.568417,0.53575,0.583725,2.23054,1615
A,0.085,0.355,0.485,0.075,0,0,0,0,0,0,0.03,0.485,0.425,0.06,0,0,0,0,0,0,0,0.615,0.385,0,0,0,0,0,0,0,0.00383194,0.0419809,-0.0872665,37.6,34.7273,39.7959,1.52748,1.17626,0.504091,0.12681,0.106008,0.0462773,0.356104,0.325588,0.215122,0.291299,0.411739,0.411077,0.409975,0.408435,0.406457,0.404043,0.401198,0.397922,0.39422,0.390097,0.385555,0.380601,0.297017,0.41982,0.419146,0.418022,0.416451,0.414435,0.411974,0.409072,0.405732,0.401958,0.397753,0.393123,0.388071,0.174006,0.24595,0.245555,0.244897,0.243977,0.242795,0.241354,0.239654,0.237697,0.235486,0.233023,0.23031,0.22735,0.532993,0.498359,0.536452,0.533143,0.503056,0.545146,2.21176,1615
A,0.085,0.36,0.475,0.08,0,0,0,0,0,0,0.06,0.475,0.4,0.065,0,0,0,0,0,0,0,0.58,0.42,0,0,0,0,0,0,0,0.0188553,-0.0282047,-0.0738506,35.0909,32.5,44.186,1.59473,1.26336,0.488113,0.130617,0.110214,0.0423637,0.36141,0.331985,0.205824,0.304465,0.430348,0.429657,0.428505,0.426895,0.424828,0.422305,0.419331,0.415907,0.412038,0.407728,0.402981,0.397803,0.303704,0.429272,0.428583,0.427434,0.425828,0.423766,0.42125,0.418282,0.414867,0.411008,0.406709,0.401974,0.396808,0.155493,0.219782,0.219429,0.218841,0.218019,0.216963,0.215675,0.214156,0.212407,0.210431,0.20823,0.205806,0.203161,0.490553,0.479473,0.502977,0.490843,0.484385,0.504637,2.30021,1615
