"ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR","XMFCC0","XMFCC1","XMFCC2","XMFCC3","XMFCC4","XMFCC5","XMFCC6","XMFCC7","XMFCC8","XMFCC9","XMFCC10","XMFCC11","XMFCC12","YMFCC0","YMFCC1","YMFCC2","YMFCC3","YMFCC4","YMFCC5","YMFCC6","YMFCC7","YMFCC8","YMFCC9","YMFCC10","YMFCC11","YMFCC12","ZMFCC0","ZMFCC1","ZMFCC2","ZMFCC3","ZMFCC4","ZMFCC5","ZMFCC6","ZMFCC7","ZMFCC8","ZMFCC9","ZMFCC10","ZMFCC11","ZMFCC12","XYCOS","XZCOS","YZCOS","XYCOR","XZCOR","YZCOR","RESULTANT","class"
A,0,0,0.03,0.1,0.085,0.22,0.39,0.17,0.005,0,0.535,0.235,0.165,0.06,0.005,0,0,0,0,0,0.475,0.44,0.085,0,0,0,0,0,0,0,9.66271,-2.83,-2.95672,42.1739,48.25,41.3333,2.54745,2.90289,2.10361,0.227956,0.248215,0.207991,0.477447,0.498212,0.45606,0.428715,0.60597,0.604997,0.603375,0.601108,0.598197,0.594645,0.590457,0.585636,0.580188,0.574119,0.567435,0.560143,0.427916,0.604841,0.603869,0.602251,0.599988,0.597082,0.593537,0.589356,0.584545,0.579107,0.573049,0.566378,0.5591,0.396065,0.559821,0.558921,0.557423,0.555329,0.552639,0.549358,0.545489,0.541035,0.536002,0.530395,0.52422,0.517484,-0.554796,-0.568867,0.646368,0.164689,0.464276,0.366836,11.6128,1625
A,0,0,0,0,0.01,0.125,0.425,0.33,0.095,0.015,0.395,0.305,0.215,0.05,0.035,0,0,0,0,0,0.445,0.525,0.03,0,0,0,0,0,0,0,12.2817,-1.9669,-2.30405,49.4872,53.3333,42.6667,1.6513,2.74658,1.01956,0.150043,0.24079,0.0957692,0.387354,0.490704,0.309466,0.422354,0.59698,0.596021,0.594423,0.592189,0.589322,0.585822,0.581696,0.576947,0.57158,0.565601,0.559016,0.551833,0.388799,0.549551,0.548668,0.547197,0.545141,0.542501,0.53928,0.535481,0.53111,0.526169,0.520665,0.514603,0.507991,0.296263,0.418754,0.418081,0.416961,0.415394,0.413382,0.410928,0.408034,0.404702,0.400937,0.396743,0.392124,0.387086,-0.553644,-0.867485,0.502112,-0.41229,-0.208423,0.16163,13.1253,1625
A,0,0,0,0.07,0.075,0.15,0.36,0.315,0.03,0,0.51,0.26,0.165,0.055,0.005,0.005,0,0,0,0,0.475,0.465,0.06,0,0,0,0,0,0,0,10.8579,-2.72977,-2.89294,44.0909,61.2903,48.25,2.33312,2.96622,1.72296,0.213736,0.256243,0.162409,0.462316,0.506205,0.403,0.414936,0.586494,0.585552,0.583982,0.581788,0.57897,0.575533,0.571479,0.566813,0.56154,0.555666,0.549197,0.54214,0.40709,0.575404,0.57448,0.57294,0.570787,0.568023,0.56465,0.560673,0.556096,0.550923,0.54516,0.538813,0.531889,0.359097,0.507568,0.506753,0.505395,0.503496,0.501057,0.498082,0.494574,0.490536,0.485973,0.480889,0.475291,0.469183,-0.545359,-0.736788,0.504641,0.160012,0.106148,0.0672897,12.4719,1625
A,0,0,0,0.015,0.015,0.185,0.355,0.36,0.065,0.005,0.39,0.39,0.165,0.055,0,0,0,0,0,0,0.445,0.515,0.04,0,0,0,0,0,0,0,11.8387,-2.21278,-2.34416,45.9524,67.1429,47.5,1.89244,2.50281,1.16633,0.168419,0.222613,0.10898,0.410388,0.471819,0.330121,0.414231,0.585497,0.584557,0.58299,0.580799,0.577986,0.574555,0.570508,0.56585,0.560586,0.554722,0.548264,0.541219,0.371815,0.525545,0.5247,0.523294,0.521328,0.518803,0.515722,0.51209,0.507909,0.503184,0.497921,0.492124,0.4858,0.315157,0.44546,0.444745,0.443553,0.441886,0.439746,0.437135,0.434056,0.430512,0.426507,0.422046,0.417132,0.411772,-0.630667,-0.866118,0.519916,-0.414766,-0.433309,0.0877255,12.6867,1625
A,0,0,0,0,0,0.125,0.495,0.285,0.07,0.025,0.405,0.34,0.17,0.05,0.035,0,0,0,0,0,0.52,0.44,0.04,0,0,0,0,0,0,0,12.2076,-2.13374,-2.54714,44.5238,70,44.5455,1.57572,2.89287,1.19961,0.146098,0.254413,0.111607,0.382228,0.504394,0.334076,0.416454,0.58864,0.587695,0.58612,0.583917,0.581089,0.577639,0.57357,0.568887,0.563595,0.5577,0.551207,0.544124,0.38786,0.548224,0.547343,0.545876,0.543825,0.541191,0.537978,0.534188,0.529827,0.524898,0.519407,0.513361,0.506764,0.312744,0.44205,0.44134,0.440157,0.438503,0.436379,0.433788,0.430733,0.427216,0.423242,0.418815,0.413939,0.40862,-0.562773,-0.883109,0.551254,-0.416875,-0.511905,0.259707,13.1682,1625
A,0,0,0,0,0.005,0.215,0.335,0.38,0.065,0,0.43,0.37,0.16,0.03,0.01,0,0,0,0,0,0.425,0.495,0.08,0,0,0,0,0,0,0,11.9623,-2.23993,-2.1359,50,66.5517,46.9231,1.79948,2.38527,1.24076,0.151118,0.215863,0.110432,0.388739,0.464611,0.332313,0.408761,0.577766,0.576838,0.575292,0.57313,0.570355,0.566968,0.562975,0.558378,0.553184,0.547397,0.541025,0.534072,0.373798,0.528347,0.527498,0.526085,0.524108,0.521569,0.518473,0.514821,0.510617,0.505867,0.500576,0.494748,0.488391,0.29255,0.413507,0.412843,0.411737,0.410189,0.408203,0.405779,0.402921,0.399631,0.395914,0.391772,0.387211,0.382236,-0.663047,-0.8085,0.516755,-0.569074,-0.133442,0.0824106,12.7493,1625
A,0,0,0,0,0.015,0.21,0.355,0.315,0.105,0,0.425,0.38,0.14,0.055,0,0,0,0,0,0,0.495,0.475,0.03,0,0,0,0,0,0,0,11.922,-2.41925,-2.58463,42.1739,71.1111,42.7273,1.91278,2.59433,1.01631,0.163526,0.225607,0.094479,0.404383,0.474981,0.307374,0.424136,0.599497,0.598534,0.59693,0.594687,0.591807,0.588293,0.58415,0.57938,0.573991,0.567986,0.561374,0.55416,0.371507,0.525108,0.524265,0.52286,0.520895,0.518372,0.515294,0.511665,0.507487,0.502766,0.497507,0.491715,0.485397,0.277959,0.392882,0.392251,0.3912,0.38973,0.387842,0.38554,0.382824,0.379699,0.376166,0.372231,0.367898,0.36317,-0.673976,-0.893298,0.587404,-0.532696,-0.242792,0.138499,12.8318,1625
A,0,0,0,0,0.025,0.19,0.39,0.335,0.055,0.005,0.42,0.33,0.17,0.04,0.025,0.015,0,0,0,0,0.62,0.345,0.035,0,0,0,0,0,0,0,11.8219,-2.0847,-2.93846,42.8889,54.5714,45,1.73777,2.88684,1.34597,0.155088,0.253649,0.123396,0.393812,0.503635,0.351278,0.42253,0.597228,0.596268,0.59467,0.592436,0.589566,0.586066,0.581938,0.577187,0.571817,0.565836,0.559248,0.552062,0.394068,0.556998,0.556103,0.554613,0.552529,0.549853,0.546588,0.542738,0.538307,0.533299,0.527721,0.521577,0.514875,0.336972,0.476296,0.475531,0.474256,0.472474,0.470186,0.467394,0.464102,0.460313,0.456031,0.45126,0.446007,0.440276,-0.561115,-0.867295,0.510613,-0.425312,-0.235281,0.178008,12.9251,1625
A,0.01,0.015,0.07,0.04,0.05,0.165,0.29,0.265,0.075,0.02,0.445,0.32,0.13,0.055,0.02,0.015,0,0.005,0.005,0.005,0.355,0.535,0.065,0.01,0.01,0.015,0.01,0,0,0,10.3991,-2.25824,-2.07584,46.3415,52.5,46.9048,3.36445,3.46718,2.07172,0.315822,0.359054,0.253314,0.56198,0.599211,0.503303,0.462682,0.653981,0.65293,0.65118,0.648733,0.645591,0.641758,0.637238,0.632035,0.626156,0.619606,0.612392,0.604523,0.479205,0.677335,0.676247,0.674434,0.6719,0.668646,0.664676,0.659994,0.654606,0.648516,0.641732,0.634261,0.626111,0.42242,0.597072,0.596113,0.594516,0.592281,0.589413,0.585914,0.581787,0.577037,0.571669,0.565689,0.559103,0.551918,-0.391634,-0.457704,0.621827,-0.050638,0.00869592,0.528846,12.7756,1625
A,0,0,0,0,0,0.175,0.385,0.31,0.105,0.025,0.4,0.355,0.175,0.06,0.01,0,0,0,0,0,0.555,0.425,0.02,0,0,0,0,0,0,0,12.3745,-2.07289,-2.76203,52.7027,64.8276,47.0732,1.93344,2.69556,1.18692,0.168111,0.231986,0.10345,0.410014,0.481649,0.321636,0.422208,0.596773,0.595814,0.594218,0.591985,0.589118,0.58562,0.581495,0.576747,0.571382,0.565405,0.558823,0.551642,0.362689,0.512644,0.511821,0.510449,0.508531,0.506068,0.503063,0.49952,0.495442,0.490833,0.485699,0.480044,0.473875,0.278424,0.39354,0.392908,0.391855,0.390383,0.388492,0.386185,0.383465,0.380334,0.376796,0.372855,0.368514,0.363779,-0.587227,-0.900731,0.538982,-0.392942,-0.372698,0.169228,13.2914,1625
