"ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR","XMFCC0","XMFCC1","XMFCC2","XMFCC3","XMFCC4","XMFCC5","XMFCC6","XMFCC7","XMFCC8","XMFCC9","XMFCC10","XMFCC11","XMFCC12","YMFCC0","YMFCC1","YMFCC2","YMFCC3","YMFCC4","YMFCC5","YMFCC6","YMFCC7","YMFCC8","YMFCC9","YMFCC10","YMFCC11","YMFCC12","ZMFCC0","ZMFCC1","ZMFCC2","ZMFCC3","ZMFCC4","ZMFCC5","ZMFCC6","ZMFCC7","ZMFCC8","ZMFCC9","ZMFCC10","ZMFCC11","ZMFCC12","XYCOS","XZCOS","YZCOS","XYCOR","XZCOR","YZCOR","RESULTANT","class"
A,0.01,0.45,0.475,0.06,0.005,0,0,0,0,0,0.025,0.41,0.545,0.02,0,0,0,0,0,0,0.005,0.35,0.625,0.02,0,0,0,0,0,0,0.235695,-0.0370428,0.175798,38.2,44.4186,51.8919,0.87309,0.667224,0.877538,0.0897359,0.0685629,0.0820364,0.29956,0.261845,0.28642,0.287503,0.406373,0.40572,0.404633,0.403112,0.40116,0.398778,0.395969,0.392737,0.389083,0.385013,0.380531,0.375641,0.236284,0.333977,0.333441,0.332547,0.331297,0.329693,0.327735,0.325427,0.32277,0.319767,0.316422,0.312739,0.30872,0.250101,0.353506,0.352939,0.351993,0.35067,0.348972,0.3469,0.344456,0.341644,0.338466,0.334925,0.331026,0.326772,-0.228282,-0.0620892,0.428732,-0.22526,-0.0920144,0.439732,1.64021,1620
A,0.035,0.525,0.36,0.07,0.005,0.005,0,0,0,0,0.065,0.45,0.405,0.06,0.02,0,0,0,0,0,0.03,0.455,0.5,0.015,0,0,0,0,0,0,0.0557219,0.0397481,0.0123029,44.3182,60.625,60.3125,1.18429,1.19021,0.826385,0.12021,0.11898,0.0783267,0.346713,0.344934,0.279869,0.311563,0.44038,0.439673,0.438494,0.436847,0.434731,0.43215,0.429106,0.425602,0.421643,0.417233,0.412375,0.407076,0.290844,0.411096,0.410435,0.409335,0.407797,0.405822,0.403413,0.400571,0.397301,0.393605,0.389488,0.384953,0.380006,0.231229,0.326832,0.326307,0.325433,0.32421,0.32264,0.320724,0.318465,0.315865,0.312927,0.309653,0.306048,0.302115,0.481891,0.163392,0.59248,0.48151,0.163126,0.592419,2.1093,1620
A,0.135,0.395,0.365,0.085,0.01,0.005,0.005,0,0,0,0.145,0.425,0.28,0.1,0.05,0,0,0,0,0,0.185,0.375,0.275,0.165,0,0,0,0,0,0,-0.351204,-0.0315669,-0.253598,49.4872,59.0909,80.8696,1.764,1.99447,2.03651,0.18063,0.172429,0.176707,0.425006,0.415245,0.420365,0.379295,0.536117,0.535255,0.533821,0.531815,0.529239,0.526097,0.522391,0.518126,0.513306,0.507937,0.502023,0.495572,0.331046,0.467919,0.467167,0.465915,0.464164,0.461916,0.459174,0.45594,0.452217,0.44801,0.443324,0.438163,0.432532,0.322312,0.455574,0.454842,0.453623,0.451919,0.44973,0.44706,0.443911,0.440287,0.436191,0.431628,0.426603,0.421121,0.0310374,-0.0883957,0.759106,0.0295522,-0.103637,0.761755,3.79813,1620
A,0.115,0.38,0.37,0.115,0.02,0,0,0,0,0,0.045,0.505,0.365,0.085,0,0,0,0,0,0,0.19,0.28,0.31,0.215,0.005,0,0,0,0,0,0.0152892,0.0027117,0.0634093,49.7436,44.4186,57.0968,1.7643,1.24485,2.1998,0.158957,0.114034,0.196884,0.398695,0.337689,0.443716,0.358965,0.507381,0.506566,0.505208,0.50331,0.500872,0.497899,0.494392,0.490355,0.485794,0.480712,0.475115,0.46901,0.30578,0.432206,0.431512,0.430355,0.428738,0.426662,0.424128,0.421141,0.417703,0.413817,0.409488,0.404721,0.39952,0.353026,0.498986,0.498185,0.49685,0.494982,0.492585,0.489661,0.486212,0.482242,0.477756,0.472758,0.467254,0.46125,0.178533,0.322216,0.53451,0.178526,0.322152,0.534611,3.4521,1620
A,0.175,0.295,0.4,0.115,0.015,0,0,0,0,0,0.08,0.445,0.37,0.105,0,0,0,0,0,0,0.29,0.18,0.23,0.29,0.01,0,0,0,0,0,-0.0986715,-0.0436787,-0.0245756,57.8125,48.75,81.25,1.94191,1.52766,2.84573,0.176804,0.13327,0.227757,0.420481,0.365062,0.477239,0.349489,0.493987,0.493194,0.491872,0.490024,0.487651,0.484755,0.481341,0.477411,0.47297,0.468022,0.462573,0.456629,0.301791,0.426568,0.425883,0.424742,0.423145,0.421096,0.418596,0.415648,0.412254,0.408419,0.404147,0.399442,0.394309,0.34261,0.484265,0.483487,0.482191,0.480379,0.478053,0.475214,0.471867,0.468014,0.463661,0.458811,0.453469,0.447642,0.0440127,-0.0646109,0.839317,0.0431442,-0.0649641,0.83939,4.16527,1620
A,0.08,0.415,0.435,0.065,0,0,0,0.005,0,0,0.03,0.485,0.43,0.055,0,0,0,0,0,0,0.11,0.275,0.415,0.195,0.005,0,0,0,0,0,-0.0232598,-0.0142372,0.388079,46.75,50.2632,53.6111,1.42456,1.1661,1.69453,0.14406,0.104161,0.146808,0.379552,0.32274,0.383155,0.366951,0.518669,0.517836,0.516448,0.514507,0.512015,0.508975,0.50539,0.501264,0.496601,0.491406,0.485685,0.479444,0.300592,0.424873,0.424191,0.423054,0.421464,0.419423,0.416933,0.413996,0.410616,0.406796,0.402541,0.397854,0.392742,0.327182,0.462458,0.461715,0.460478,0.458747,0.456526,0.453815,0.450619,0.44694,0.442782,0.43815,0.433049,0.427485,0.385307,0.122411,0.604418,0.38524,0.126673,0.616721,2.78472,1620
A,0.15,0.335,0.37,0.11,0.03,0.005,0,0,0,0,0.045,0.45,0.445,0.06,0,0,0,0,0,0,0.13,0.395,0.385,0.09,0,0,0,0,0,0,-0.00405796,0.0155898,-0.234273,46.4286,37.451,45.25,1.86104,1.10384,1.48811,0.184591,0.107333,0.148412,0.42964,0.327617,0.385243,0.39223,0.554399,0.553509,0.552025,0.549951,0.547288,0.544038,0.540206,0.535796,0.530811,0.525259,0.519144,0.512473,0.318702,0.450471,0.449748,0.448542,0.446857,0.444693,0.442052,0.438939,0.435355,0.431305,0.426793,0.421825,0.416404,0.353097,0.499087,0.498285,0.49695,0.495082,0.492685,0.489759,0.48631,0.482339,0.477852,0.472854,0.467349,0.461343,-0.113194,0.0440815,-0.0484591,-0.113184,0.0441818,-0.0476162,2.99996,1620
A,0.09,0.335,0.46,0.105,0.01,0,0,0,0,0,0.03,0.56,0.365,0.045,0,0,0,0,0,0,0.065,0.285,0.535,0.075,0.04,0,0,0,0,0,0.175564,-0.0463273,0.437781,43.1818,40.2041,42.6667,1.53016,0.950069,1.38496,0.142765,0.0901456,0.143391,0.377843,0.300243,0.37867,0.345429,0.488249,0.487465,0.486158,0.484331,0.481986,0.479124,0.475749,0.471865,0.467476,0.462586,0.4572,0.451325,0.271791,0.384165,0.383547,0.38252,0.381082,0.379236,0.376985,0.374329,0.371273,0.36782,0.363972,0.359735,0.355112,0.331132,0.468041,0.467289,0.466036,0.464285,0.462037,0.459293,0.456058,0.452335,0.448127,0.443439,0.438277,0.432645,-0.178029,0.113946,-0.277551,-0.175659,0.0982383,-0.276288,2.72905,1620
A,0.155,0.345,0.42,0.08,0,0,0,0,0,0,0.095,0.45,0.365,0.085,0.005,0,0,0,0,0,0.16,0.38,0.305,0.155,0,0,0,0,0,0,-0.305897,-0.126851,-0.174103,52.7027,47.561,67.1429,1.79098,1.51941,2.05045,0.164678,0.136347,0.167026,0.405805,0.369252,0.408688,0.358177,0.506268,0.505455,0.5041,0.502206,0.499774,0.496806,0.493307,0.48928,0.484728,0.479657,0.474073,0.467981,0.307584,0.434757,0.434059,0.432895,0.431268,0.42918,0.426632,0.423627,0.420168,0.416259,0.411905,0.40711,0.401878,0.323378,0.45708,0.456346,0.455123,0.453413,0.451217,0.448538,0.445379,0.441742,0.437633,0.433055,0.428013,0.422513,0.0816805,0.258858,0.782679,0.0739192,0.252109,0.78165,3.48173,1620
A,0.145,0.285,0.5,0.07,0,0,0,0,0,0,0.04,0.465,0.435,0.055,0.005,0,0,0,0,0,0.16,0.305,0.35,0.175,0.01,0,0,0,0,0,-0.115289,0.0288315,0.117009,43.6364,42.3913,55.4286,1.67206,1.12825,1.91027,0.158111,0.107317,0.173998,0.397631,0.327592,0.41713,0.355783,0.502883,0.502075,0.50073,0.498848,0.496432,0.493485,0.490009,0.486008,0.481487,0.47645,0.470903,0.464852,0.314095,0.44396,0.443247,0.442059,0.440398,0.438265,0.435663,0.432594,0.429062,0.425071,0.420624,0.415728,0.410385,0.33084,0.467628,0.466876,0.465625,0.463875,0.461629,0.458888,0.455656,0.451936,0.447732,0.443048,0.43789,0.432263,-0.208347,0.16171,0.408464,-0.207682,0.164559,0.408096,3.15541,1620
